k,MIDPOINT_H,TRAPAZOIDAL_H,SIMPSON_H
387,-0.126365,-0.126365,-0.126365
388,-0.0479519,-0.0479519,-0.0479519
389,0.0715907,0.0715907,0.0715907
390,0.129085,0.129085,0.129085
391,0.0750778,0.0750778,0.0750778
392,-0.0435728,-0.0435728,-0.0435728
393,-0.124303,-0.124303,-0.124303
394,-0.0974905,-0.0974905,-0.0974905
395,0.01346,0.01346,0.01346
396,0.112494,0.112494,0.112494
397,0.114042,0.114042,0.114042
398,0.0169871,0.0169871,0.0169871
399,-0.0945104,-0.0945104,-0.0945104
400,-0.123958,-0.123958,-0.123958
401,-0.0460573,-0.0460573,-0.0460573
402,0.071516,0.071516,0.071516
403,0.126862,0.126862,0.126862
404,0.0721806,0.0721806,0.0721806
405,-0.0449049,-0.0449049,-0.0449049
406,-0.122775,-0.122775,-0.122775
407,-0.0940065,-0.0940065,-0.0940065
408,0.0162158,0.0162158,0.0162158
409,0.112096,0.112096,0.112096
410,0.110466,0.110466,0.110466
411,0.0129576,0.0129576,0.0129576
412,-0.0955596,-0.0955596,-0.0955596
413,-0.120816,-0.120816,-0.120816
414,-0.0410538,-0.0410538,-0.0410538
415,0.0741867,0.0741867,0.0741867
416,0.12466,0.12466,0.12466
417,0.0666236,0.0666236,0.0666236
418,-0.0492129,-0.0492129,-0.0492129
419,-0.121955,-0.121955,-0.121955
420,-0.0884001,-0.0884001,-0.0884001
421,0.0220167,0.0220167,0.0220167
422,0.112998,0.112998,0.112998
423,0.105355,0.105355,0.105355
424,0.0059575,0.0059575,0.0059575
425,-0.0983919,-0.0983919,-0.0983919
426,-0.116739,-0.116739,-0.116739
427,-0.033275,-0.033275,-0.033275
428,0.0790055,0.0790055,0.0790055
429,0.122111,0.122111,0.122111
430,0.0585823,0.0585823,0.0585823
431,-0.0559163,-0.0559163,-0.0559163
432,-0.121338,-0.121338,-0.121338
433,-0.0806703,-0.0806703,-0.0806703
434,0.0303491,0.0303491,0.0303491
435,0.114599,0.114599,0.114599
436,0.0985272,0.0985272,0.0985272
437,-0.00360976,-0.00360976,-0.00360976
438,-0.102354,-0.102354,-0.102354
439,-0.111379,-0.111379,-0.111379
440,-0.0229809,-0.0229809,-0.0229809
441,0.0853147,0.0853147,0.0853147
442,0.118717,0.118717,0.118717
443,0.0481512,0.0481512,0.0481512
444,-0.0644002,-0.0644002,-0.0644002
445,-0.120311,-0.120311,-0.120311
446,-0.0707362,-0.0707362,-0.0707362
447,0.0406832,0.0406832,0.0406832
448,0.116207,0.116207,0.116207
449,0.0897285,0.0897285,0.0897285
450,-0.0153349,-0.0153349,-0.0153349
451,-0.106717,-0.106717,-0.106717
452,-0.104318,-0.104318,-0.104318
453,-0.0104333,-0.0104333,-0.0104333
454,0.0923935,0.0923935,0.0923935
455,0.113923,0.113923,0.113923
456,0.0354266,0.0354266,0.0354266
457,-0.0739916,-0.0739916,-0.0739916
458,-0.118205,-0.118205,-0.118205
459,-0.0585208,-0.0585208,-0.0585208
460,0.0524312,0.0524312,0.0524312
461,0.117078,0.117078,0.117078
462,0.07871,0.07871,0.07871
463,-0.0287471,-0.0287471,-0.0287471
464,-0.110699,-0.110699,-0.110699
465,-0.0951471,-0.0951471,-0.0951471
466,0.00403951,0.00403951,0.00403951
467,0.0994571,0.0994571,0.0994571
468,0.107175,0.107175,0.107175
469,0.020577,0.020577,0.020577
470,-0.0839422,-0.0839422,-0.0839422
471,-0.11435,-0.11435,-0.11435
472,-0.044023,-0.044023,-0.044023
473,0.0649162,0.0649162,0.0649162
474,0.116451,0.116451,0.116451
475,0.0652993,0.0652993,0.0652993
476,-0.0432722,-0.0432722,-0.0432722
477,-0.113482,-0.113482,-0.113482
478,-0.0835276,-0.0835276,-0.0835276
479,0.0199917,0.0199917,0.0199917
480,0.105666,0.105666,0.105666
481,0.0979834,0.0979834,0.0979834
482,0.00389992,0.00389992,0.00389992
483,-0.0934257,-0.0934257,-0.0934257
